,user_id,rec
0,1,"[1082185, 1089023, 1029743, 8293343, 879280]"
1,6,"[6548453, 996259, 862866, 12731466, 940278]"
2,7,"[1082185, 1105411, 1029743, 993638, 5592610]"
3,8,"[1082185, 1121694, 1029743, 1042544, 878285]"
4,9,"[1082185, 883616, 13381584, 889692, 1029743]"
5,13,"[9859111, 1075007, 1137346, 1082185, 1042438]"
6,14,"[1135552, 5582712, 1127758, 976199, 1029743]"
7,15,"[1082185, 1104343, 1029743, 825994, 871611]"
8,16,"[1082185, 5592931, 1004906, 1106523, 971922]"
9,17,"[1082185, 978906, 837569, 862866, 6533362]"
10,18,"[1082185, 12754036, 916122, 938118, 1072968]"
11,19,"[1082185, 844179, 899624, 1044078, 7441873]"
12,20,"[1082185, 1123106, 935578, 5592931, 916122]"
13,22,"[1082185, 835098, 825749, 1010578, 1029743]"
14,23,"[1082185, 837644, 1051468, 842140, 893221]"
15,24,"[1028995, 1106523, 1070845, 983584, 986912]"
16,25,"[1002850, 1029743, 929018, 1075786, 5568378]"
17,26,"[1050851, 979707, 940766, 9296919, 1082185]"
18,27,"[1101589, 1058709, 1082185, 1108940, 910473]"
19,28,"[6534030, 854900, 13003092, 1055155, 6533368]"
20,29,"[899624, 852856, 848319, 886395, 916122]"
21,30,"[1051516, 6534480, 1022254, 1029743, 979707]"
22,31,"[1082185, 8290421, 844179, 1068719, 860248]"
23,32,"[865156, 940278, 1003649, 1094924, 995358]"
24,33,"[5591103, 5590695, 5572738, 871756, 5590613]"
25,34,"[1044078, 965530, 1041796, 1082185, 1029743]"
26,35,"[6463752, 6464165, 1082185, 1029743, 1098248]"
27,36,"[970747, 1029743, 865705, 8276172, 8273833]"
28,37,"[916990, 1056212, 1067695, 1097001, 979707]"
29,39,"[1082185, 826571, 923789, 6395907, 13158992]"
30,40,"[1082185, 12812474, 897954, 871680, 1128240]"
31,41,"[865705, 985160, 1082185, 5567502, 1126899]"
32,42,"[1082185, 851146, 1060673, 1031087, 839656]"
33,43,"[1082185, 1029743, 893018, 965766, 845208]"
34,46,"[1082185, 1029743, 1090621, 862335, 845622]"
35,47,"[883932, 1106523, 1029743, 1103808, 1082185]"
36,49,"[1139782, 826666, 1082185, 967144, 5569471]"
37,52,"[1082185, 1004906, 1053530, 979707, 865705]"
38,53,"[5569471, 904236, 854405, 939546, 1082185]"
39,55,"[1098844, 1097280, 894401, 13008334, 988791]"
40,56,"[1082185, 5569230, 1029743, 826571, 839243]"
41,57,"[6904666, 986912, 1051516, 7139529, 12731544]"
42,58,"[1082185, 1098844, 9856740, 916122, 1104343]"
43,59,"[856942, 972931, 1029743, 870547, 1106523]"
44,63,"[5592931, 1082185, 1029743, 1106523, 854852]"
45,64,"[1082185, 845622, 856060, 1131344, 1074333]"
46,65,"[821741, 986912, 1021715, 1011457, 1044078]"
47,67,"[1082185, 1029743, 1106523, 1125601, 1098844]"
48,68,"[947798, 1082185, 1029743, 12301100, 871756]"
49,69,"[1082185, 1068719, 12810422, 1004906, 1044078]"
50,70,"[1114811, 1070820, 1060408, 849100, 1051516]"
51,71,"[917438, 9836106, 1056509, 1082185, 1029743]"
52,72,"[987234, 1098844, 1082185, 1045586, 978906]"
53,74,"[986912, 899459, 5591170, 845208, 1106523]"
54,75,"[1106523, 1082185, 1022254, 1126899, 1044078]"
55,76,"[965530, 1044078, 1041796, 1029743, 1082185]"
56,77,"[1082185, 1053282, 916122, 843898, 1101502]"
57,78,"[1082185, 930385, 7410071, 835098, 1039627]"
58,79,"[1059922, 882826, 1082185, 1127328, 1105488]"
59,80,"[892500, 968992, 10198378, 959179, 1046957]"
60,81,"[971922, 949965, 1093413, 1029743, 1082185]"
61,82,"[847573, 1084036, 880150, 849202, 1082185]"
62,83,"[1069312, 998556, 1029743, 1106523, 1082185]"
63,84,"[13876901, 829722, 1082185, 879504, 1096635]"
64,85,"[1082185, 1106523, 10150194, 1029743, 12695224]"
65,86,"[1082185, 923169, 5569376, 911974, 8090519]"
66,87,"[1079528, 8293385, 979707, 1082185, 899624]"
67,88,"[1082185, 820486, 856060, 1044078, 827667]"
68,91,"[839656, 916993, 6602697, 908318, 12949590]"
69,92,"[1059473, 1128240, 12946027, 12757316, 871061]"
70,94,"[1082185, 918684, 979707, 976199, 849578]"
71,95,"[8090519, 1068719, 1082185, 1029743, 845208]"
72,97,"[1082185, 12812474, 1106523, 1075368, 871756]"
73,98,"[1082185, 957013, 1068719, 9707240, 847241]"
74,99,"[1082185, 916122, 916993, 5591103, 999563]"
75,101,"[12731432, 1044078, 1082185, 878285, 1082627]"
76,103,"[1106523, 1063577, 1082185, 1029743, 1044078]"
